Parent Total Headroom (Sum),T90 % of Rx Groups Touched (Parent),T90 % of Locations Touched (Child),Parent Account Name,Parent EC Headroom,Quote Primary Contact Phone (Parent),Last Sales Activity Date,# Calls T60 (Parent),Last C/W Date,Account Prospecting Notes Rollup,Has CSM Activity in Last 15 Days? (inclu today),Quote Primary Contact ID for SFDC Report (Parent),Parent Total Headroom,Quote Primary Contact Email (Parent),Finance Contact Email (Parent),# Connects T60 (Parent),Last Sales Connect Date,# of Activities T60 (Parent)
4563635.6001120005,0.98,0.474359,Amaranth Hospitality Group,0,6156924190,03/05/2026,1,04/17/2026,,true,"0034W00002XiadpQAB,",60564,alex@amaranthhospitality.com,amaranth.hg@gmail.com,0,09/24/2025,5
,,,Apollo Pizza Group,0,8595375828,02/17/2026,0,03/03/2026,,,"0034W00002wNlARQA0,",145632,collinkinsey@yahoo.com,kdavis@davislawky.com,0,01/21/2026,0
,,,Barista Parlor-Parent,0,,04/21/2026,0,03/24/2026,,,"0033c00002ZLsNjAAL,",137700,accounting@baristaparlor.com,nick@baristaparlor.com,0,12/17/2025,2
,,,Centro LLC,3304.000056,18594335112,03/25/2026,1,04/02/2026,,,"0033c00002Rldz7AAB,",63904.000056000004,ascott@titancbs.com,ascott@titancbs.com,0,09/10/2025,10
,,,Charette Properties,11928,16154798115,04/23/2026,1,10/30/2025,,,"0033c00002Y3pIBAAZ,",64908,cosmojoe13@yahoo.com,josef@beyondtheedge.net,0,03/17/2026,2
,,,Church Street Group,0,+18593121547,03/25/2026,1,02/20/2026,,,"0033c00002W9D9bAAF,",61020,chesneyturner@gmail.com,cguyon@gmail.com,0,02/02/2022,6
,,,Cinco De Mayo Parent,44044.000224,+16156061610,04/15/2026,1,04/15/2026,,false,"0034W00002rcpTxQAI,",225196.00022400002,leonardo_figueroa@icloud.com,cincofinance@cincodemayotn.net,0,04/07/2026,2
,,,Cocina Real Parent,9660,6154782228,03/25/2026,0,01/14/2026,,,"003PV00000QwX5iYAF,",117216,gerardo.penilla.zapien@gmail.com,gerardo.penilla.zapien@gmail.com,0,10/21/2025,0
,,,Coneheads Parent,2968.000056,16155710512,03/05/2026,0,10/07/2025,,,"0034W00002duxqpQAA,",56800.000056000004,marcus@coneheadscw.com,marcus@coneheadscw.com,0,09/05/2024,2
,,,Demos' & PDK - Parent,76277.599944,9317978676,03/05/2026,0,10/23/2025,,,"003PV00000Hvo4lYAB,",147581.599944,john@demosbrands.com,john@demosbrands.com,0,10/08/2025,2
,,,Don Jockey Group,6300,+15028921283,04/20/2026,1,04/21/2026,,,"003C0000023u5x6IAA,",45180,garciapocoloco@yahoo.com,jorgevg1981@gmail.com,0,04/02/2026,1
,,,Donut Country - Parent,0,+16154243769,03/26/2026,0,04/08/2026,,false,"003PV00000TZcp9YAD,",48972,donutcountryinv@gmail.com,donutcountry@gmail.com,0,02/12/2026,4
,,,Eastern Peak Parent,0,16157881004,03/05/2026,1,03/05/2026,,false,"0033c00002UerGCAAZ,",72960,david@cravejasmine.com,poy@cravejasmine.com,1,03/05/2026,2
,,,Edley's Restaurant Group,0,18657195739,04/20/2026,0,04/24/2026,,true,"003C000002Q7xBEIAZ,",221100,9e62186498d1@example.com,sfinnegan@edleysbbq.com,0,09/29/2025,2
,,,El Charro Group,5235.999888,8594556206,02/20/2026,0,03/12/2026,,,"0033c00002RhvJpAAJ,",60495.999888,flor.gonzalez@icloud.com,flor.gonzalez@icloud.com,0,10/21/2025,0
,,,El Mariachi Group,8203.999944,757-813-1518 - Cell,03/24/2026,0,04/11/2026,,,"0033c00002RhW0qAAF,",63763.999943999996,elmariachilex@yahoo.com,elmariachilex@gmail.com,0,12/01/2025,0
,,,El Patio - Parent Account,2743.999944,8592486755,02/20/2026,0,10/31/2025,,,"0034W00003RnrZ3QAJ,",40363.999943999996,elpatioo046@gmail.com,gzam123@icloud.com,0,10/24/2025,0
,,,El Rancho Tapatio Parent Account,7168.000056,+18599679909,03/05/2026,0,04/06/2026,,,"0034W00002nzbrNQAQ,",61708.000056000004,valeyjessi25@icloud.com,valeyjessi25@icloud.com,0,,2
,,,El Tapatio - Parent,11788.000056,9313192697,03/25/2026,0,02/24/2025,,,"0034W0000320Oj8QAE,",74008.000056,eltapatio.1992@gmail.com,eltapatio.1992@gmail.com,0,07/03/2025,5
,,,Escalante's - Parent Group,78679.999776,(281) 236-3842,03/20/2026,0,04/27/2026,,false,"0033c00002WemyrAAB,",181099.99977599998,kopi@escalantes.net,john.laporte@masmex.net,0,02/10/2026,0
,,,Fat Rosie's Parent,102227.999832,,04/07/2026,0,04/07/2026,,false,"0034W00003R23m2QAB,",231575.999832,,john.laporte@masmex.net,0,12/31/2025,0
,,,Fil-Thai - Parent,0,+19312618252,02/20/2026,0,01/24/2025,,,"0034W00003OdiC1QAJ,",55680,irhorton4@gmail.com,irmorley10@gmail.com,0,10/21/2025,0
,,,Gillums Sports Lounge- Parent Account,8652,+18595824982,03/18/2026,0,07/29/2025,,,"0033c00002TZJh2AAH,",46224,playersclubky@gmail.com,playersclubky@gmail.com,0,05/05/2020,0
,,,Hearts Cafe - Parent- Parent Account,4731.999888,15184884138,10/07/2025,0,04/04/2026,,,"0033c00002VALVUAA5,",43191.999888,kateross00@gmail.com,kateross00@gmail.com,0,03/21/2024,0
,,,Hibachi Jr Group,0,+16155008971,02/20/2026,0,12/02/2025,,,"0033c00002W8nezAAB,",70788,hibachijrnashville@gmail.com,evolunteer@yahoo.com,0,01/13/2026,0
,,,Just One More Hospitality Group - Parent,0,16157175525,02/20/2026,0,03/31/2026,,false,"0034W0000320TeBQAU,",114192,nick@justonemoreusa.com,nobleseast@gmail.com,0,09/16/2025,0
,,,Koto Japanese Bistro - Parent Account,11927.999832,+18595823509,03/25/2026,3,04/01/2026,,,"0034W000039OAXdQAO,",101999.99983199999,andri_tj89@live.com,andri_tj89@live.com,3,03/17/2026,3
,,,Lakeside Lounge / Attaboy - Nashville,3500.000112,+16463715166,03/11/2026,0,11/23/2025,,,"0033c00002SQluUAAT,",43880.000112,attaboynashville@gmail.com,brandon.bramhall@gmail.com,0,10/08/2024,7
,,,Lasaters Coffee & Tea - Parent,0,+15129126545,03/19/2026,0,03/31/2026,,false,"003PV00000NO3E4YAL,",88764,steve.kelley@worldwidejavadistributors.com,steve.kelley@worldwidejavadistributors.com,0,12/04/2025,5
,,,Lexington Brewing Company,3108,18598063465,03/05/2026,0,12/17/2025,,,"0034W000036M8gZQAS,",56880,mlamb@lexingtonbrewingco.com,aboyd@lexingtonbrewingco.com,0,12/10/2025,3
,,,MFI Holdings,10836,+15025501026,03/05/2026,0,12/14/2025,,,"0033c00002bDCGWAA4,",89976,clubhouselexington@gmail.com,ryanfoster02@yahoo.com,0,06/17/2025,6
,,,Martha's- Parent Account,2940,16143611603,03/05/2026,0,03/30/2026,,,"0034W000039O4zjQAC,",42420,pj@franklincigar.com,pj@franklincigar.com,0,10/08/2025,6
,,,Maru Sushi Parent,8904.000168,6154234717,03/19/2026,0,03/28/2026,,false,"0034W00002wP3Z4QAK,",87264.00016800001,mikyung.bang@yahoo.com,mikyung.bang@yahoo.com,0,09/09/2025,0
,,,Mirror Twin Parent,0,+16184063598,04/13/2026,0,04/09/2026,,,"003C000002M1o4MIAR,",61620,derek@mirrortwinbrewing.com,christina@mirrortwinbrewing.com,0,02/11/2026,6
,,,Official Wings Down Town - Parent Account,0,9013555285,03/05/2026,0,12/06/2025,,,"0034W00003R1YlSQAV,",56040,kpartee89@gmail.com,kpartee89@gmail.com,0,07/16/2025,2
,,,Oscar's TN - Parent Account Cesar,0,C:615-487-9809,03/26/2026,0,03/26/2026,,,",",56160,cesar@otsholdings5.com.invalid,cesar@thespotburgersandbeers.com,0,05/08/2025,0
,,,Ouita Michel Group - PARENT,28615.999944,,03/18/2026,0,10/14/2025,,false,",",137707.999944,,wallacestationmanager@gmail.com,0,10/21/2024,3
,,,POP Hospitality Group,22820.000112,6156082731,03/30/2026,0,04/24/2026,,false,"0034W00002rdIrRQAU,",95120.00011200001,accounting@pophg.com,erik@pophg.com,0,11/07/2025,6
,,,Papi's Parent,16744.000224,+18594922581,04/15/2026,0,02/27/2026,,,"0034W00002a9qObQAI,",85804.000224,marcosvaldes@icould.com,marcosvaldes@icloud.com,0,03/16/2026,0
